AfD;Alternative für Deutschland
AUF;AUF - Partei für Arbeit, Umwelt und Familie, Christen für Deutschland
BP;Bayernpartei
BüSo;Bürgerrechtsbewegung Solidarität
CDU;Christlich Demokratische Union Deutschlands
CM;CHRISTLICHE MITTE - Für ein Deutschland nach GOTTES Geboten
CSU;Christlich-Soziale Union in Bayern e.V.
DIE LINKE;DIE LINKE
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische
Initiative;Initiative
DKP;Deutsche Kommunistische Partei
FAMILIE;Familien-Partei Deutschlands
FDP;Freie Demokratische Partei
FREIE;WÄHLER FREIE WÄHLER
GRÜNE;BÜNDNIS 90/DIE GRÜNEN
MLPD;Marxistisch-Leninistische Partei Deutschlands
NPD;Nationaldemokratische Partei Deutschlands
ÖDP;Ökologisch-Demokratische Partei
PBC;Partei Bibeltreuer Christen
PIRATEN;Piratenpartei Deutschland
PRO;NRW Bürgerbewegung PRO NRW
PSG;Partei für Soziale Gleichheit, Sektion der Vierten Internationale
REP;DIE REPUBLIKANER
SPD;Sozialdemokratische Partei Deutschlands
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen
FREIE WÄHLER;FREIE WÄHLER Hessen e.V.
FREIE WÄHLER;FREIE WÄHLER in Thüringen
FREIE WÄHLER;FREIE WÄHLER Mecklenburg-Vorpommern
FREIE WÄHLER;FREIE WÄHLER Niedersachsen
FREIE WÄHLER;FREIE WÄHLER Schleswig-Holstein
MLPD;Marxistisch-Leninistische Partei Deutschlands
NPD;Nationaldemokratische Partei Deutschlands
NEIN!;NEIN!-Idee
ÖDP;Ökologisch-Demokratische Partei
ÖDP;Ökologisch-Demokratische Partei – Die grüne Alternative
ÖDP;Ökologisch-Demokratische Partei / Familie und Umwelt
ÖDP/Familie ..;Ökologisch-Demokratische Partei / Familie, Gerechtigkeit, Umwelt
PBC;Partei Bibeltreuer Christen
Nichtwähler;Partei der Nichtwähler
VERNUNFT;Partei der Vernunft
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
PSG;Partei für Soziale Gleichheit, Sektion der Vierten Internationale
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
PIRATEN;Piratenpartei Deutschland
PIRATEN;Piratenpartei Niedersachsen
RENTNER;RENTNER Partei Deutschland
SPD;Sozialdemokratische Partei Deutschlands
Volksabstimmung;Ab jetzt…Demokratie durch Volksabstimmung
AfD;Alternative für Deutschland
BP;Bayernpartei
B;Bergpartei, die „ÜberPartei“
BGD;Bund für Gesamtdeutschland
Bündnis 21/RRP;Bündnis 21/RRP
GRÜNE;BÜNDNIS 90/DIE GRÜNEN
GRÜNE/B90;BÜNDNIS 90/DIE GRÜNEN
GRÜNE;BÜNDNIS 90/DIE GRÜNEN, Landesverband Hamburg
BIG;Bündnis für Innovation & Gerechtigkeit pro Deutschland Bürgerbewegung pro Deutschland
BüSo;Bürgerrechtsbewegung Solidarität
CDU;Christlich Demokratische Union Deutschlands
CDU;Christlich Demokratische Union Deutschlands in Niedersachsen
CSU;Christlich-Soziale Union in Bayern e.V.
DKP;Deutsche Kommunistische Partei
DIE LINKE;DIE LINKE
DIE LINKE.;DIE LINKE. Niedersachsen
DIE RECHTE;DIE RECHTE
REP;DIE REPUBLIKANER
DIE VIOLETTEN;Die Violetten
FAMILIE;Familien-Partei Deutschlands
DIE FRAUEN;Feministische Partei DIE FRAUEN
FDP;Freie Demokratische Partei
FREIE WÄHLER;FREIE WÄHLER
FREIE WÄHLER;FREIE WÄHLER Bayern 
BGE;Bündnis Grundeinkommen
Neue Liberale;Neue Liberale – Die Sozialliberalen
DiB;DEMOKRATIE IN BEWEGUNG
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
DM;Deutsche Mitte
Bündnis C;Bündnis C - Christen für Deutschland
MENSCHLICHE WELT;Menschliche Welt
Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz
MG;Madgeburger Gartenpartei
SGP;Sozialistische Gleichheitspartei, Vierte Internationale
B*;bergpartei, die überpartei
Die Grauen;Die Grauen – Für alle Generationen
du.;Die Urbane. Eine HipHop Partei
Gesundheitsforschung;Partei für Gesundheitsforschung
MIETERPARTEI;Mieterpartei
Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung
ADD;Allianz Deutscher Demokraten
Die Humanisten;Partei der Humanisten
DIE EINHEIT;DIE EINHEIT
UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie
pro Deutschland;Bürgerbewegung pro Deutschland
Bündnis21/RRP;Bündnis21/RRP
EB: Abaga Ayingono;DIE STIMME DER STIMMENLOSEN